id,regionname,countryname_x,prodline,lendinginstr,lendinginstrtype,projectstatusdisplay,project_name,boardapprovaldate,board_approval_month,closingdate,lendprojectcost,ibrdcommamt,idacommamt,totalamt,url,sector1,year,countrycode,countryname_y,GDP,Population,Rural Population,Electricity Access,Agricultural Land
162908,Latin America and Caribbean,Republic of Haiti,PE,Investment Project Financing,IN,Active,Resilient Productive Landscapes,2018-03-01 00:00:00+00:00,3,2023-12-31 00:00:00+00:00,26210000.0,0,15000000,15000000,http://projects.worldbank.org/P162908?lang=en,Agricultural Extension; Research; and Other Support Activities,2018,HTI,,,,,,
165551,Latin America and Caribbean,Republic of Haiti,GE,Investment Project Financing,IN,Active,Resilient Productive Landscapes in Haiti,2018-03-01 00:00:00+00:00,3,2023-12-31 00:00:00+00:00,6210000.0,0,0,0,http://projects.worldbank.org/P165551?lang=en,Central Government (Central Agencies),2018,HTI,,,,,,
161491,Africa,Republic of Madagascar,PE,Investment Project Financing,IN,Active,Madagascar Financial Inclusion Project,2018-02-28 00:00:00+00:00,2,2022-07-31 00:00:00+00:00,45000000.0,0,45000000,45000000,http://projects.worldbank.org/P161491?lang=en,Banking Institutions,2018,MDG,,,,,,
164845,Africa,Republic of Rwanda,PE,Investment Project Financing,IN,Active,Rwanda Stunting Prevention and Reduction Project,2018-02-28 00:00:00+00:00,2,2023-04-30 00:00:00+00:00,55000000.0,0,25000000,25000000,http://projects.worldbank.org/P164845?lang=en,Health,2018,,,,,,,
166075,Africa,Republic of Sierra Leone,PE,Investment Project Financing,IN,Active,Freetown Emergency Recovery Project,2018-02-22 00:00:00+00:00,2,2021-02-28 00:00:00+00:00,11540000.0,0,10000000,10000000,http://projects.worldbank.org/P166075?lang=en,Rural and Inter-Urban Roads,2018,SLE,,,,,,
163015,Africa,Republic of Cabo Verde,PE,Investment Project Financing,IN,Active,Access to Finance for Micro; Small and Medium Sized Enterprises Project,2018-02-15 00:00:00+00:00,2,2023-01-31 00:00:00+00:00,15000000.0,0,15000000,15000000,http://projects.worldbank.org/P163015?lang=en,Trade,2018,CPV,,,,,,
164424,Europe and Central Asia,Montenegro,PE,Investment Project Financing,IN,Active,Montenegro Second Institutional Development and Agriculture Strengthening Project,2018-01-30 00:00:00+00:00,1,2023-06-30 00:00:00+00:00,34890000.0,34890000,0,34890000,http://projects.worldbank.org/P164424?lang=en,Other Agriculture; Fishing and Forestry,2018,MNE,,,,,,
152307,Latin America and Caribbean,Jamaica,PE,Investment Project Financing,IN,Active,Access to Finance for MSMEs,2018-01-29 00:00:00+00:00,1,2023-01-30 00:00:00+00:00,15000000.0,15000000,0,15000000,http://projects.worldbank.org/P152307?lang=en,Central Government (Central Agencies),2018,JAM,,,,,,
164661,Latin America and Caribbean,United Mexican States,PE,Investment Project Financing,IN,Active,Strengthening Entrepreneurship in Productive Forest Landscapes,2018-01-29 00:00:00+00:00,1,2023-03-31 00:00:00+00:00,185000000.0,56000000,0,56000000,http://projects.worldbank.org/P164661?lang=en,Agricultural markets; commercialization and agri-business,2018,MEX,,,,,,
162111,Africa,Republic of Liberia,PE,Development Policy Lending,AD,Active,Liberia Fourth Poverty Reduction Support Development Policy Operation,2018-01-24 00:00:00+00:00,1,2018-12-31 00:00:00+00:00,24670000.0,0,20000000,20000000,http://projects.worldbank.org/P162111?lang=en,Central Government (Central Agencies),2018,LBR,,,,,,
161770,Africa,Republic of Cote d'Ivoire,PE,Investment Project Financing,IN,Active,Multisectoral Nutrition and Child Development Project,2018-01-19 00:00:00+00:00,1,2023-06-30 00:00:00+00:00,60400000.0,0,50000000,50000000,http://projects.worldbank.org/P161770?lang=en,Health,2018,,,,,,,
162245,Africa,Central African Republic,PE,Investment Project Financing,IN,Active,Water and Electricity Upgrading Project,2018-01-17 00:00:00+00:00,1,2022-06-30 00:00:00+00:00,20000000.0,0,20000000,20000000,http://projects.worldbank.org/P162245?lang=en,Renewable Energy Solar,2018,CAF,,,,,,
146936,South Asia,Republic of India,PE,Investment Project Financing,IN,Active,Uttar Pradesh Pro Poor Tourism Development Project,2017-12-20 00:00:00+00:00,12,2022-12-30 00:00:00+00:00,57140000.0,40000000,0,40000000,http://projects.worldbank.org/P146936?lang=en,Sub-National Government,2017,IND,,,,,,
160377,Africa,Republic of Togo,PE,Investment Project Financing,IN,Active,Energy Sector Support and Investment Project,2017-12-20 00:00:00+00:00,12,2022-11-30 00:00:00+00:00,36000000.0,0,35000000,35000000,http://projects.worldbank.org/P160377?lang=en,Energy Transmission and Distribution,2017,,,,,,,
163057,Africa,Islamic Republic of Mauritania,PE,Development Policy Lending,AD,Active,Mauritania Second Fiscal Consolidation and Private Sector Support DPO,2017-12-20 00:00:00+00:00,12,2018-12-31 00:00:00+00:00,26000000.0,0,26000000,26000000,http://projects.worldbank.org/P163057?lang=en,Central Government (Central Agencies),2017,MRT,Mauritania,5024705934.33687,4420184.0,38.983,100.0,38.4796740079558
159655,South Asia,Islamic  Republic of Afghanistan,PE,Investment Project Financing,IN,Active,Fiscal Performance Improvement Support Project (FSP):,2017-12-19 00:00:00+00:00,12,2022-12-28 00:00:00+00:00,100000000.0,0,25000000,25000000,http://projects.worldbank.org/P159655?lang=en,Central Government (Central Agencies),2017,,,,,,,
160910,East Asia and Pacific,Republic of the Marshall Islands,PE,Investment Project Financing,IN,Active,Sustainable Energy Development Project,2017-12-15 00:00:00+00:00,12,2022-12-30 00:00:00+00:00,34000000.0,0,34000000,34000000,http://projects.worldbank.org/P160910?lang=en,Public Administration - Energy and Extractives,2017,MHL,Marshall Islands,199399247.08,53127.0,26.808,100.0,47.7777777777778
156880,Latin America and Caribbean,Republic of Colombia,PE,Investment Project Financing,IN,Active,Enhancing Waterway Connectivity and Water Service Provision in Colombia&#8217;s Plan Pazcifico,2017-12-14 00:00:00+00:00,12,2023-12-15 00:00:00+00:00,41900000.0,41900000,0,41900000,http://projects.worldbank.org/P156880?lang=en,Central Government (Central Agencies),2017,COL,,,,,,
161122,Europe and Central Asia,Bosnia and Herzegovina,PE,Investment Project Financing,IN,Active,Republika Srpska Railways Restructuring Project,2017-12-07 00:00:00+00:00,12,2021-12-31 00:00:00+00:00,149190000.0,60600000,0,60600000,http://projects.worldbank.org/P161122?lang=en,Railways,2017,BIH,Bosnia and Herzegovina,18168579578.1952,3507017.0,59.865,100.0,43.515625
162279,Africa,Republic of Madagascar,PE,Development Policy Lending,AD,Active,MG   Inclusive and Resilient Growth DPO,2017-12-07 00:00:00+00:00,12,2018-12-31 00:00:00+00:00,45000000.0,0,45000000,45000000,http://projects.worldbank.org/P162279?lang=en,Central Government (Central Agencies),2017,MDG,Madagascar,11499803806.5729,25570895.0,63.624,100.0,70.2904778274321
165639,Africa,Republic of Sierra Leone,PE,Development Policy Lending,AD,Active,SL Supplemental Financing for the PTSC I,2017-11-30 00:00:00+00:00,11,2018-06-30 00:00:00+00:00,10000000.0,0,10000000,10000000,http://projects.worldbank.org/P165639?lang=en,Other Agriculture; Fishing and Forestry,2017,SLE,Sierra Leone,3774270392.41231,7557212.0,59.293,100.0,54.7104461069548
160700,Africa,Republic of Benin,PE,Development Policy Lending,AD,Active,First Fiscal Reform and Growth Credit,2017-11-28 00:00:00+00:00,11,2018-06-30 00:00:00+00:00,40000000.0,0,40000000,40000000,http://projects.worldbank.org/P160700?lang=en,Central Government (Central Agencies),2017,BEN,Benin,9273558271.64744,11175692.0,55.153,100.0,35.0301525363604
160719,Africa,Republic of Sierra Leone,PE,Investment Project Financing,IN,Active,Extractive Industries Technical Assistance Project Phase 2,2017-11-22 00:00:00+00:00,11,2022-12-31 00:00:00+00:00,20000000.0,0,20000000,20000000,http://projects.worldbank.org/P160719?lang=en,Mining,2017,SLE,Sierra Leone,3774270392.41231,7557212.0,59.293,100.0,54.7104461069548
161794,East Asia and Pacific,Republic of Kiribati,PE,Development Policy Lending,AD,Active,Fourth Economic Reform Development Policy Operation,2017-11-22 00:00:00+00:00,11,2018-12-31 00:00:00+00:00,5000000.0,0,5000000,5000000,http://projects.worldbank.org/P161794?lang=en,Central Government (Central Agencies),2017,KIR,Kiribati,196150061.312078,116398.0,55.397,100.0,41.9753086419753
151155,Africa,Republic of Cameroon,PE,Investment Project Financing,IN,Active,CAMEROON   Strengthening Public Sector Effectiveness and Statistical Capacity Project,2017-11-20 00:00:00+00:00,11,2023-12-31 00:00:00+00:00,31000000.0,0,31000000,31000000,http://projects.worldbank.org/P151155?lang=en,Central Government (Central Agencies),2017,CMR,Cameroon,34798596482.4274,24053727.0,44.511,100.0,20.6257536333058
155229,Africa,Kingdom of Lesotho,PE,Investment Project Financing,IN,Active,Lesotho Transport Infrastructure and Connectivity Project (LTIC),2017-11-20 00:00:00+00:00,11,2023-12-31 00:00:00+00:00,18300000.0,0,18300000,18300000,http://projects.worldbank.org/P155229?lang=en,Rural and Inter-Urban Roads,2017,LSO,Lesotho,2639386291.42767,2233339.0,71.628,100.0,79.6442687747035
164137,Africa,Republic of Madagascar,PE,Development Policy Lending,AD,Active,Public Finance Sustainability and Investment DPF II,2017-11-16 00:00:00+00:00,11,2018-12-31 00:00:00+00:00,45000000.0,0,45000000,45000000,http://projects.worldbank.org/P164137?lang=en,Central Government (Central Agencies),2017,MDG,Madagascar,11499803806.5729,25570895.0,63.624,100.0,70.2904778274321
162104,East Asia and Pacific,Samoa,PE,Development Policy Lending,AD,Active,First Resilience Development Policy Operation,2017-10-31 00:00:00+00:00,10,2018-12-31 00:00:00+00:00,5000000.0,0,5000000,5000000,http://projects.worldbank.org/P162104?lang=en,Central Government (Central Agencies),2017,WSM,,,,,,
157079,Europe and Central Asia,Kyrgyz Republic,PE,Investment Project Financing,IN,Active,Heat Supply Improvement Project,2017-10-27 00:00:00+00:00,10,2023-12-31 00:00:00+00:00,46000000.0,0,46000000,46000000,http://projects.worldbank.org/P157079?lang=en,Other Energy and Extractives,2017,KGZ,Kyrgyz Republic,7564738836.04122,6201500.0,63.986,100.0,54.9535974973931
147158,Latin America and Caribbean,Federative Republic of Brazil,PE,Investment Project Financing,IN,Active,Paraiba Sustainable Rural Development,2017-10-20 00:00:00+00:00,10,2023-12-15 00:00:00+00:00,80000000.0,50000000,0,50000000,http://projects.worldbank.org/P147158?lang=en,Agricultural markets; commercialization and agri-business,2017,BRA,,,,,,
158078,Africa,Republic of Togo,PE,Investment Project Financing,IN,Active,TOGO Economic Governance,2017-10-03 00:00:00+00:00,10,2022-10-31 00:00:00+00:00,20600000.0,0,15000000,15000000,http://projects.worldbank.org/P158078?lang=en,Central Government (Central Agencies),2017,,,,,,,
155642,Africa,Africa,PE,Investment Project Financing,IN,Active,Third South West Indian Ocean Fisheries Governance and Shared Growth Project (SWIOFish3),2017-09-29 00:00:00+00:00,9,2023-06-30 00:00:00+00:00,15290000.0,5000000,0,5000000,http://projects.worldbank.org/P155642?lang=en,Fisheries,2017,,,,,,,
152276,Europe and Central Asia,Republic of Belarus,PE,Investment Project Financing,IN,Active,Belarus MSME Access to Finance Project,2017-09-28 00:00:00+00:00,9,2022-12-31 00:00:00+00:00,60000000.0,60000000,0,60000000,http://projects.worldbank.org/P152276?lang=en,Banking Institutions,2017,BLR,Belarus,54442374372.5094,9507875.0,22.584,100.0,41.8448381185095
162893,Africa,Republic of Liberia,PE,Investment Project Financing,IN,Active,Liberia Land Administration Project,2017-09-28 00:00:00+00:00,9,2022-10-31 00:00:00+00:00,7000000.0,0,7000000,7000000,http://projects.worldbank.org/P162893?lang=en,Other Public Administration,2017,LBR,Liberia,2158000000.0,4731906.0,49.495,100.0,19.9727990033223
158138,Middle East and North Africa,Republic of Tunisia,PE,Investment Project Financing,IN,Active,Youth Economic Inclusion Project,2017-09-11 00:00:00+00:00,9,2024-01-31 00:00:00+00:00,60000000.0,60000000,0,60000000,http://projects.worldbank.org/P158138?lang=en,Public Administration - Social Protection,2017,TUN,Tunisia,40256675208.7294,11532127.0,32.741,100.0,62.7124098867147
